OrderID;OrderDate;CustomerID;Product;Quantity;UnitPrice;Status;Channel
202300630;2023-01-29;4;Desk Lamp;13;€1,120.95;cancelled;mobile
202300789;2023-01-28;12;Laptop Pro;12;€413.28;completed;mobile
202300685;2023-07-03;2;4K Monitor;2;€524.40;cancelled;In-Store
202300517;2023-12-09;24;Office Chair;6;€122.39;completed;mobile
202300530;2023-08-19;74;Webcam HD;1;€1,279.82;Completed;mobile
202300658;2023-07-14;66;Desk Lamp;4;€1,330.52;completed;web
202300553;2023-10-16;52;4K Monitor;3;€1,749.03;completed;In-Store
202300532;2023-03-10;39;Webcam HD;4;€284.39;completed;web
202300322;2023-06-17;4;Headset;1;€955.38;cancelled;Phone Order
202300071;2023-06-17;44;Docking Station;7;€1,253.97;Completed;web
202300838;2023-03-01;16;Cable Kit;6;€1,443.73;completed;mobile
202300454;2023-12-22;48;4K Monitor;-1;€379.95;completed;In-Store
202300997;2023-05-26;60;Cable Kit;0;€309.00;cancelled;mobile
202300669;2023-11-06;63;Office Chair;2;€1,444.93;Pending ;mobile
202300248;2023-10-27;30;Laptop Pro;7;€1,686.67;pending;web
202300614;2023-03-04;36;Headset;3;€408.63;completed;web
202300845;2023-02-05;14;USB-C Hub;4;€1,823.58;completed;web
202300705;2023-12-18;24;4K Monitor;4;€638.82;completed;Phone Order
202300299;2023-04-26;31;USB-C Hub;10;€1,168.01;completed;web
202300102;2023-08-30;62;Standing Desk;9;€1,296.16;cancelled;web
202300903;2023-06-06;21; Desk Lamp ;14;€1,477.61;completed;mobile
202300920;2023-03-24;75;USB-C Hub;7;€217.21;completed;mobile
202300214;2023-05-08;64;Docking Station;13;€1,150.77;Completed;mobile
202300238;2023-03-26;13;Standing Desk;8;€841.13;completed;web
202300596;2023-10-07;76;Office Chair;12;€405.90;pending;In-Store
202300282;2023-04-10;6;Smartphone;3;€405.25;completed;mobile
202300871;2023-01-24;9;Headset;8;€1,241.56;completed;web
202300287;2023-11-20;80;Headset;14;€505.13;completed;In-Store
202300923;2023-03-08;32;Office Chair;12;€834.68;completed;mobile
202300888;2023-02-18;55;Webcam HD;1;€1,741.86;completed;web
202300465;2023-12-15;42;Wireless Mouse;7;€945.66;pending;mobile
202300797;2023-08-20;16;Headset;3;€1,770.02;pending;mobile
202300097;2023-01-05;80;Wireless Mouse;8;€602.15;completed;web
202300245;2023-05-31;30;Wireless Mouse;12;€1,697.20;pending;mobile
202300890;2023-12-24;26;Headset;1;€784.18;cancelled;web
202300077;2023-04-25;41;Wireless Mouse;13;€1,329.14;Completed;In-Store
202300902;2023-08-14;43;Desk Lamp;10;€544.36;completed;Phone Order
202300210;2023-10-16;25;Wireless Mouse;2;€1,008.09;cancelled;In-Store
202300260;2023-11-15;74; Mechanical Keyboard ;8;€602.47;Cancelled;mobile
202300159;2023-10-31;78;Mechanical Keyboard;5;€1,203.67;completed;web
202300740;2023-05-07;73;Power Bank;8;€348.11;completed;In-Store
202300433;2023-07-30;32;Tablet;12;€1,688.19;refunded;In-Store
202300332;2023-01-24;59; Smartphone ;10;€724.24;cancelled;In-Store
202300957;2023-08-13;30;Headset;1;€977.44;completed;In-Store
202300315;2023-11-29;41;Power Bank;12;€760.95;completed;web
202300295;2023-12-02;40;Office Chair;14;€232.16;completed;In-Store
202300383;2023-07-02;45;Headset;3;€555.10;pending;mobile
202300389;2023-05-13;23;Wireless Mouse;14;€623.31;shipped;mobile
202300576;2023-03-23;44;Cable Kit;9;€359.10;pending;In-Store
202300880;2023-01-03;62;Standing Desk;14;€195.38;completed;mobile
202300443;2023-03-13;70;Webcam HD;12;€535.12;refunded;web
202300722;2023-08-18;16;Smartphone;9;€312.14;completed;mobile
202300060;2023-08-18;6;Wireless Mouse;12;€1,056.62;completed;web
202300679;2023-05-05;74;USB-C Hub;7;€937.94;SHIPPED;mobile
202300371;2023-03-12;4;Smartphone;8;€814.49;completed;Phone Order
202300483;2023-06-12;9;Laptop Pro;-1;€1,661.12;completed;mobile
202300382;2023-05-14;72;Wireless Mouse;10;€707.00;completed;mobile
202300055;2023-07-19;36;Standing Desk;2;€1,388.72;refunded;web
202300024;2023-01-17;69;USB-C Hub;2;€1,779.90;shipped;web
202300031;2023-02-21;31;Webcam HD;0;€1,354.49;SHIPPED;mobile
202300881;2023-06-08;29;Standing Desk;5;€942.85;completed;mobile
202300431;2023-04-19;55;Docking Station;11;€1,388.22;shipped;mobile
202300011;2023-07-15;61;Office Chair;6;€1,673.98;completed;In-Store
202300657;2023-09-14;26;Docking Station;7;€852.31;Completed;mobile
202300814;2023-05-19;36;Power Bank;1;€1,245.04;completed;web
202300484;2023-01-12;64;Headset;6;€892.75;Pending ;web
202300544;2023-01-02;64; Docking Station ;3;€631.24;shipped;web
202300200;2023-10-18;68;Smartphone;4;€1,986.72;Pending ;web
202300502;2023-10-31;28;4K Monitor;10;€1,108.79;completed;web
202300941;2023-10-14;32;Mechanical Keyboard;14;€1,017.37;completed;Phone Order
202300108;2023-03-31;72; Standing Desk ;13;€704.47;shipped;In-Store
202300219;2023-12-24;43;Docking Station;14;€835.90;completed;mobile
202300926;2023-12-23;56;Smartphone;2;€35.60;completed;mobile
202300175;2023-04-26;9;Desk Lamp;6;€1,905.73;completed;mobile
202300724;2023-12-11;46;Headset;5;€494.34;shipped;In-Store
202300882;2023-06-21;52;Cable Kit;7;€1,616.55;completed;web
202300934;2023-02-04;41;Wireless Mouse;10;€562.70;completed;web
202300395;2023-03-04;48;Smartphone;6;€1,557.22;completed;mobile
202300040;2023-10-05;5;Smartphone;8;€992.53;Pending ;In-Store
202300834;2023-09-29;76;Mechanical Keyboard;13;€1,376.63;completed;Phone Order
202300774;2023-04-13;72;4K Monitor;7;€1,349.83;completed;mobile
202300352;2023-07-03;77;Webcam HD;4;€1,366.52;completed;mobile
202300067;2023-02-14;52;Power Bank;7;€1,369.00;pending;web
202300278;2023-07-20;19;Standing Desk;10;€520.24;completed;mobile
202300068;2023-09-08;52;Wireless Mouse;3;€1,756.47;Completed;web
202300911;2023-11-13;4;Smartphone;6;€1,900.18;pending;web
202300440;2023-06-16;62;Laptop Pro;10;€990.54;pending;web
202300737;2023-10-12;25;Laptop Pro;14;€1,558.77;completed;mobile
202300297;2023-07-06;49;USB-C Hub;1;€668.38;pending;mobile
202300621;2023-11-07;33;Desk Lamp;4;€1,218.16;completed;web
202300491;2023-08-03;79;Webcam HD;2;€1,649.47;completed;mobile
202300820;2023-08-03;7;Smartphone;5;€1,060.39;completed;Phone Order
202300559;2023-08-11;39;Standing Desk;9;€873.61;cancelled;Phone Order
202300425;2023-02-05;70;Docking Station;14;€1,363.30;cancelled;web
202300925;2023-11-13;13;Webcam HD;8;€1,711.21;completed;web
202300313;2023-05-26;72; Mechanical Keyboard ;13;€72.82;Cancelled;mobile
202300185;2023-04-23;71;Mechanical Keyboard;2;€429.63;completed;web
202300333;2023-11-16;37;Laptop Pro;6;€1,903.47;completed;web
202300089;2023-09-09;54;Webcam HD;8;€629.24;pending;web
202300064;2023-07-10;63;Smartphone;8;€1,243.64;Completed;mobile
202300835;2023-05-25;56;4K Monitor;-2;€126.09;completed;mobile
202300577;2023-06-28;18; Office Chair ;12;€1,930.59;completed;mobile
202300216;2023-12-01;37;4K Monitor;5;€390.60;completed;web
202300616;2023-10-26;25;USB-C Hub;12;€953.31;completed;Phone Order
202300514;2023-11-28;79; Standing Desk ;13;€1,056.97;completed;Phone Order
202300291;2023-03-30;54;Power Bank;5;€1,319.38;completed;In-Store
202300378;2023-02-10;30;Webcam HD;10;€1,004.90;completed;mobile
202300892;2023-05-05;61; USB-C Hub ;14;€119.59;Completed;mobile
202300970;2023-12-05;69;Tablet;5;€1,978.40;cancelled;mobile
202300947;2023-07-14;40;4K Monitor;7;€1,229.51;shipped;web
202300787;2023-05-22;8;Office Chair;12;€1,204.03;completed;In-Store
202300426;2023-08-23;13; Cable Kit ;4;€1,786.33;shipped;web
202300697;2023-10-27;8;Mechanical Keyboard;2;€776.18;shipped;mobile
202300996;2023-11-18;36;Power Bank;13;€871.68;shipped;mobile
202300310;2023-08-22;76;Laptop Pro;5;€305.14;pending;web
202300087;2023-10-29;59;Standing Desk;1;€1,017.40;shipped;mobile
202300732;2023-03-01;52;Webcam HD;11;€50.55;completed;In-Store
202300756;2023-08-23;11;Tablet;6;€1,995.41;shipped;web
202300311;2023-05-02;18;Headset;2;€153.90;pending;In-Store
202300539;2023-11-23;67;USB-C Hub;3;€1,083.41;Completed;mobile
202300137;2023-02-27;79;Power Bank;8;€1,157.68;completed;mobile
202300959;2023-12-01;78; Smartphone ;7;€240.51;completed;web
202301000;2023-09-01;11;Webcam HD;5;€1,506.78;pending;web
202300729;2023-07-10;33;4K Monitor;-1;€1,372.35;refunded;In-Store
202300262;2023-10-02;8;Webcam HD;13;€1,532.39;Completed;mobile
202300548;2023-12-08;13;Wireless Mouse;13;€208.90;shipped;web
202300169;2023-09-01;67;Tablet;10;€234.49;completed;Phone Order
202300791;2023-12-22;49;Office Chair;5;€1,031.35;completed;web
202300449;2023-06-24;46;Laptop Pro;2;€611.74;completed;web
202300140;2023-03-23;44;Mechanical Keyboard;14;€734.47;completed;web
202300686;2023-06-03;71;4K Monitor;4;€1,449.98;completed;mobile
202300667;2023-03-16;28;4K Monitor;9;€209.10;Completed;Phone Order
202300858;2023-04-05;78;Cable Kit;12;€1,133.91;refunded;web
202300519;2023-10-18;38;Tablet;3;€1,588.62;completed;In-Store
;;;;;;;
202300534;2023-06-21;10;4K Monitor;4;€959.75;completed;mobile
202300056;2023-09-12;63;Laptop Pro;7;€161.64;completed;mobile
