ReturnID,OrderID,CustomerID,ProductID,RegionID,ReturnDate,Amount,Reason,CycleDays
1,105813,490,82,5,2022-03-31,688.66,changed mind,6
2,609778,478,35,4,2024-02-13,187.1,late delivery,16
3,771323,178,32,2,2023-10-17,858.07,late delivery,22
4,595817,634,16,2,2023-03-15,243.08,wrong size,6
5,445559,554,1,4,2023-03-10,100.83,not as described,7
6,845691,603,61,1,2024-05-08,753.02,late delivery,21
7,433930,375,119,3,2022-03-27,986.51,late delivery,29
8,739478,715,27,4,2023-11-29,1282.68,damaged in transit,12
9,517727,312,53,4,2022-07-21,1176.42,not as described,25
10,123919,645,113,7,2022-04-05,1287.29,damaged in transit,6
11,577464,163,93,8,2023-06-11,1142.5,damaged in transit,17
12,144513,198,1,6,2024-09-02,1057.83,not as described,28
13,937861,422,61,1,2024-01-06,25.1,wrong size,13
14,641402,445,18,4,2024-02-01,942.89,wrong size,15
15,434828,597,30,6,2023-12-19,189.52,wrong size,5
16,537572,238,30,5,2024-02-26,97.41,not as described,16
17,657261,699,74,4,2023-05-29,243.05,damaged in transit,17
18,334165,264,24,4,2022-05-09,1236.71,damaged in transit,29
19,359554,428,31,4,2024-04-19,1118.34,not as described,6
20,476790,746,28,5,2023-03-27,1423.67,not as described,11
21,332714,432,43,2,2023-05-16,1468.67,damaged in transit,19
22,782118,546,79,5,2023-01-06,1340.99,not as described,28
23,193433,727,48,2,2022-07-02,208.06,defective,7
24,843949,780,40,6,2024-07-15,1318.79,late delivery,21
25,413674,400,63,7,2024-02-21,1259.57,changed mind,26
26,605100,334,74,5,2023-10-06,1307.92,late delivery,19
27,241979,158,2,4,2023-02-07,236.01,late delivery,13
28,446832,430,107,8,2024-04-02,184.02,wrong size,7
29,779136,735,110,6,2023-06-30,1386.48,wrong size,9
30,343626,390,73,4,2023-03-20,269.0,defective,2
31,219048,279,69,1,2023-03-27,559.25,wrong size,5
32,569726,86,84,1,2022-08-16,689.42,not as described,13
33,246241,312,53,2,2022-04-03,195.42,late delivery,5
34,383274,190,44,2,2023-07-09,40.75,damaged in transit,1
35,505414,782,43,6,2024-06-06,1491.19,damaged in transit,21
36,607685,423,20,5,2022-03-05,1316.22,damaged in transit,3
37,675438,110,101,8,2024-05-08,1369.38,wrong size,5
38,708986,54,39,5,2024-04-07,434.0,changed mind,18
39,859857,681,35,8,2022-10-04,337.95,defective,27
40,159471,746,116,5,2023-09-24,644.54,defective,22
41,426090,611,61,3,2022-06-15,685.45,wrong size,1
42,100960,100,75,6,2024-01-29,18.34,wrong size,5
43,108498,79,30,4,2023-12-02,1171.09,defective,22
44,291049,159,34,3,2022-12-21,1495.03,damaged in transit,22
45,638328,601,88,4,2022-03-09,797.75,late delivery,12
46,905059,613,55,6,2024-08-28,588.51,late delivery,28
47,796186,671,18,4,2023-03-22,595.2,late delivery,26
48,681661,78,101,6,2024-06-12,153.15,damaged in transit,22
49,800346,123,49,8,2023-11-09,406.58,defective,22
50,254764,721,81,4,2024-02-18,758.18,changed mind,23
51,855850,743,41,3,2024-01-30,653.45,wrong size,5
52,901236,581,68,4,2022-07-14,822.1,late delivery,21
53,185548,85,94,7,2022-12-30,1275.11,late delivery,28
54,522959,55,107,2,2023-04-12,345.61,not as described,7
55,847032,45,25,8,2023-05-13,51.22,late delivery,1
56,528482,554,81,4,2022-02-13,66.96,wrong size,11
57,856424,677,110,7,2023-07-01,209.91,late delivery,8
58,941986,506,78,7,2022-06-04,860.02,damaged in transit,28
59,527197,210,18,7,2024-01-14,1214.2,late delivery,13
60,153537,606,23,8,2023-11-15,1331.34,late delivery,20
61,406047,48,25,2,2024-07-11,956.32,wrong size,29
62,293660,663,13,5,2024-01-15,610.68,defective,23
63,526703,714,91,1,2023-01-02,240.23,wrong size,22
64,627193,575,116,3,2024-08-25,608.11,defective,29
65,517508,704,63,1,2023-02-15,505.3,changed mind,20
66,275937,469,72,6,2022-11-22,1306.34,damaged in transit,7
67,371048,375,93,5,2024-06-24,735.21,changed mind,22
68,711573,258,50,6,2023-01-06,347.03,late delivery,10
69,124284,738,57,2,2022-03-18,440.31,damaged in transit,10
70,292682,558,71,3,2023-04-15,213.34,not as described,19
71,903106,153,37,6,2024-03-06,1378.69,late delivery,10
72,189241,766,8,7,2022-07-09,85.02,not as described,1
73,473270,48,69,8,2023-04-08,29.14,wrong size,29
