date,region,streaming_hours,subscribers,is_holiday,marketing_spend_eur,major_launch
2022-01-01,EU,148895.0,18006,True,6875.15,False
2022-01-02,EU,130267.1,16772,False,5910.51,False
2022-01-03,EU,144244.1,18069,False,5842.91,False
2022-01-04,EU,148295.5,18105,False,7765.55,False
2022-01-05,EU,116130.8,14920,False,6484.37,False
2022-01-06,EU,102914.9,12584,False,6474.2,False
2022-01-07,EU,100683.2,11882,False,5907.84,False
2022-01-08,EU,117265.3,15168,False,5727.1,False
2022-01-09,EU,139422.3,17159,False,4455.67,False
2022-01-10,EU,135152.1,16689,False,6980.39,False
2022-01-11,EU,150137.8,18787,False,6564.65,False
2022-01-12,EU,135739.3,17538,False,6063.27,False
2022-01-13,EU,112133.8,14026,False,6097.42,False
2022-01-14,EU,107291.8,12811,False,6796.72,False
2022-01-15,EU,123784.0,15744,False,4964.63,False
2022-01-16,EU,135561.5,16702,False,5737.09,False
2022-01-17,EU,145938.6,19186,False,5300.56,False
2022-01-18,EU,138968.8,17370,False,7627.41,False
2022-01-19,EU,138428.7,16186,False,6911.32,False
2022-01-20,EU,113138.1,14320,False,4449.25,False
2022-01-21,EU,102111.9,13736,False,5000.99,False
2022-01-22,EU,118551.3,15606,False,6106.72,False
2022-01-23,EU,152496.6,19977,False,5835.25,False
2022-01-24,EU,144249.3,17521,False,5154.29,False
2022-01-25,EU,144897.5,18568,False,7770.21,False
2022-01-26,EU,132133.0,16155,False,6465.03,False
2022-01-27,EU,118094.3,14873,False,6595.45,False
2022-01-28,EU,106428.4,12667,False,5662.59,False
2022-01-29,EU,127017.1,15554,False,6794.62,False
2022-01-30,EU,148848.6,18267,False,5913.05,False
2022-01-31,EU,163159.6,20844,False,5991.33,False
2022-02-01,EU,147044.9,18780,False,6707.4,False
2022-02-02,EU,132835.1,16742,False,4916.0,False
2022-02-03,EU,111837.4,13304,False,7497.42,False
2022-02-04,EU,109175.1,13491,False,6366.31,False
2022-02-05,EU,133212.1,16278,False,7245.76,False
2022-02-06,EU,146777.5,18782,False,5361.26,False
2022-02-07,EU,143018.9,18466,False,5483.67,False
2022-02-08,EU,145756.4,18747,False,5293.28,False
2022-02-09,EU,142551.7,17441,False,6423.64,False
2022-02-10,EU,122435.3,13934,False,6276.79,False
2022-02-11,EU,110144.3,12884,False,5853.07,False
2022-02-12,EU,123400.0,16135,False,5413.94,False
2022-02-13,EU,151151.0,18693,False,5212.52,False
2022-02-14,EU,151969.2,18620,False,6187.61,False
2022-02-15,EU,155514.3,20260,False,5854.53,False
2022-02-16,EU,145769.7,18853,False,5679.11,False
2022-02-17,EU,120753.7,15106,False,7465.87,False
2022-02-18,EU,112142.8,13871,False,6162.94,False
2022-02-19,EU,129527.5,16124,False,7245.43,False
2022-02-20,EU,153268.0,19272,False,5803.4,False
2022-02-21,EU,157572.0,20496,False,6426.42,False
2022-02-22,EU,144171.9,18232,False,6186.82,False
2022-02-23,EU,138920.7,17728,False,4873.7,False
2022-02-24,EU,117838.6,15314,False,7375.07,False
2022-02-25,EU,106085.7,12675,False,6124.88,False
2022-02-26,EU,128615.7,16454,False,6830.73,False
2022-02-27,EU,164008.9,20353,False,5632.58,False
2022-02-28,EU,147582.4,17189,False,6102.92,False
2022-03-01,EU,164614.4,19512,False,5541.92,False
2022-03-02,EU,130533.1,15807,False,7224.8,False
2022-03-03,EU,119769.5,15236,False,6485.73,False
2022-03-04,EU,111495.9,13993,False,6530.84,False
2022-03-05,EU,135445.9,17022,False,7324.35,False
2022-03-06,EU,159430.6,20904,False,7163.47,False
2022-03-07,EU,161774.2,19587,False,6851.27,False
2022-03-08,EU,217825.2,27214,False,13102.22,True
2022-03-09,EU,140392.6,17701,False,5683.66,False
2022-03-10,EU,128072.0,15640,False,5437.69,False
2022-03-11,EU,110413.0,13815,False,6823.43,False
2022-03-12,EU,124157.6,14719,False,6378.52,False
2022-03-13,EU,146339.8,18997,False,5130.19,False
2022-03-14,EU,149554.0,18353,False,6092.2,False
2022-03-15,EU,163465.8,21448,False,5048.51,False
2022-03-16,EU,145763.4,18204,False,6201.87,False
2022-03-17,EU,127920.0,16504,False,4920.7,False
2022-03-18,EU,109830.4,13702,False,6668.66,False
2022-03-19,EU,134540.5,16802,False,6548.57,False
2022-03-20,EU,160997.5,19832,False,7773.16,False
2022-03-21,EU,155286.4,19470,False,6925.7,False
2022-03-22,EU,164117.9,20673,False,5909.67,False
2022-03-23,EU,140752.0,17201,False,6903.06,False
2022-03-24,EU,122085.8,15198,False,5131.07,False
2022-03-25,EU,110681.1,13530,False,5479.82,False
