user_id,plan,monthly_price_eur,tenure_months,signup_channel,country,payment_method,monthly_watch_hours_90d,sessions_90d,unique_titles_90d,support_tickets_90d,family_account,auto_renew_on,churned_30d
2000000,premium,15.99,6,ads,CA,paypal,9.15,16,3,0,True,True,False
2000001,standard,9.99,21,referral,US,apple_pay,11.94,19,7,1,False,False,True
2000002,premium,15.99,43,organic,JP,paypal,14.76,30,7,0,True,False,False
2000003,premium,15.99,25,organic,JP,paypal,26.23,44,20,0,False,True,False
2000004,standard,9.99,10,organic,NL,apple_pay,8.9,22,6,1,False,False,False
2000005,premium,15.99,59,organic,FR,card,3.43,11,6,2,False,True,False
2000006,premium,15.99,12,ads,ES,card,7.28,18,1,1,False,True,True
2000007,premium,15.99,5,organic,US,card,10.75,14,6,0,False,True,False
2000008,standard,9.99,23,referral,DE,card,17.51,37,5,0,True,True,False
2000009,standard,9.99,7,organic,FR,card,16.86,35,13,0,False,False,False
2000010,standard,9.99,35,referral,CA,paypal,6.28,4,3,0,True,True,False
2000011,premium,15.99,26,app_store,US,paypal,25.7,44,19,0,True,False,False
2000012,standard,9.99,55,organic,NL,paypal,4.93,19,0,0,False,True,True
2000013,premium,15.99,10,app_store,FR,card,67.97,121,38,2,False,True,False
2000014,standard,9.99,16,referral,BR,paypal,11.65,29,3,1,False,True,False
2000015,standard,9.99,41,app_store,BR,paypal,6.22,17,10,0,False,True,False
2000016,standard,9.99,42,organic,US,card,10.01,14,5,0,False,True,False
2000017,standard,9.99,22,app_store,GB,card,7.03,15,3,1,False,True,False
2000018,premium,15.99,55,ads,US,card,7.34,13,2,0,True,True,False
2000019,standard,9.99,50,organic,US,paypal,21.59,31,14,0,True,True,False
2000020,premium,15.99,37,app_store,ES,paypal,26.49,45,16,2,False,True,False
2000021,standard,9.99,45,app_store,IT,paypal,10.59,24,8,0,False,True,False
2000022,premium,15.99,32,organic,IT,card,11.79,20,2,0,False,False,False
2000023,premium,15.99,28,ads,NL,card,6.02,6,10,1,False,True,True
2000024,premium,15.99,33,app_store,IT,card,26.67,54,20,0,False,True,False
2000025,standard,9.99,50,ads,US,apple_pay,9.46,17,2,0,True,True,False
2000026,standard,9.99,1,ads,CA,card,25.15,52,17,0,True,True,False
2000027,standard,9.99,6,organic,AU,card,15.2,22,12,0,True,True,False
2000028,standard,9.99,29,ads,DE,card,9.57,26,8,0,True,True,True
2000029,premium,15.99,35,ads,CA,paypal,6.52,14,1,1,False,False,False
2000030,premium,15.99,11,referral,CA,gift_card,40.79,77,26,0,False,True,False
2000031,premium,15.99,36,ads,BR,card,18.61,37,5,0,False,True,False
2000032,standard,9.99,2,ads,BR,card,13.04,23,7,0,False,True,False
2000033,standard,9.99,15,organic,FR,gift_card,26.73,42,16,1,False,True,False
2000034,standard,9.99,28,referral,US,paypal,15.17,22,3,1,True,True,False
2000035,standard,9.99,3,organic,FR,card,10.41,24,9,1,False,False,True
2000036,standard,9.99,38,ads,FR,apple_pay,5.1,9,7,0,False,True,False
2000037,standard,9.99,32,referral,BR,card,5.73,14,0,0,False,True,False
2000038,standard,9.99,34,referral,US,gift_card,22.93,43,16,1,True,True,False
2000039,standard,9.99,31,organic,US,card,9.13,16,3,0,False,True,False
2000040,standard,9.99,41,referral,DE,apple_pay,7.2,14,2,0,False,True,False
2000041,premium,15.99,39,organic,FR,gift_card,21.18,44,16,1,False,True,False
2000042,premium,15.99,39,organic,SE,paypal,10.59,15,10,2,False,False,False
