user_id,country,signup_date,plan,device,monthly_watch_hours,monthly_revenue_eur
1,BR,2024-03-01,standard,web,6.9,9.99
2,DE,2021-10-27,free,tv,6.38,0.0
3,NL,2024-09-15,premium,mobile,10.91,15.99
4,IT,2021-09-27,free,mobile,6.47,0.0
5,FR,2023-10-25,standard,mobile,15.04,7.99
6,CA,2025-07-13,free,tv,6.24,0.0
7,BR,2025-10-16,free,tv,3.35,0.0
8,BR,2021-04-30,standard,mobile,18.34,9.99
9,FR,2021-03-28,free,web,3.25,0.0
10,DE,2025-09-10,free,mobile,3.35,0.0
11,US,2025-06-21,free,tv,15.31,0.0
12,JP,2023-01-20,standard,tv,4.45,5.0
13,ES,2024-06-25,free,web,7.99,0.0
14,NL,2022-09-12,free,tv,31.7,0.0
15,DE,2021-04-28,free,web,5.57,0.0
16,US,2021-12-11,premium,web,48.61,15.99
17,GB,2022-10-02,free,mobile,3.22,0.0
18,FR,2025-02-02,free,tv,3.75,0.0
19,NL,2025-06-08,free,web,11.7,0.0
20,ES,2024-02-04,free,tv,1.67,0.0
21,BR,2022-02-18,free,tv,3.76,0.0
22,US,2023-11-13,free,tv,2.97,0.0
23,CA,2024-04-14,standard,tv,4.19,9.99
24,JP,2024-09-27,free,web,2.68,0.0
25,BR,2022-03-18,free,tv,3.77,0.0
26,US,2023-09-08,standard,mobile,4.51,9.99
27,DE,2021-11-10,premium,web,30.14,15.99
28,FR,2025-05-14,free,mobile,3.72,0.0
29,FR,2021-09-04,free,tv,3.89,0.0
30,IT,2024-05-07,premium,tv,5.73,15.99
31,BR,2022-12-24,free,mobile,5.56,0.0
32,AU,2025-03-27,free,tv,3.63,0.0
33,US,2022-12-26,free,mobile,9.86,0.0
34,US,2025-05-25,free,mobile,6.15,0.0
35,DE,2023-09-18,free,tv,2.65,0.0
36,US,2023-10-05,free,mobile,7.21,0.0
37,FR,2024-02-07,free,mobile,6.62,0.0
38,DE,2025-09-19,free,tv,1.48,0.0
39,US,2022-01-30,free,mobile,1.28,0.0
40,ES,2024-11-13,free,mobile,7.67,0.0
41,DE,2023-05-17,free,mobile,2.69,0.0
42,NL,2023-05-20,standard,mobile,15.08,9.99
43,IT,2022-12-08,standard,mobile,41.61,5.0
44,US,2023-06-02,free,mobile,10.31,0.0
45,NL,2023-12-17,standard,mobile,3.4,9.99
46,BR,2024-10-24,free,tv,4.38,0.0
47,US,2021-11-20,standard,mobile,22.43,9.99
48,US,2024-12-06,standard,mobile,20.54,9.99
49,IT,2024-02-19,free,mobile,2.99,0.0
50,FR,2023-11-04,standard,mobile,15.51,7.99
51,US,2024-02-27,premium,web,23.96,12.79
52,FR,2024-08-04,free,mobile,6.13,0.0
53,BR,2023-04-19,free,web,3.51,0.0
54,ES,2025-07-21,premium,tv,8.77,8.0
55,IT,2022-08-21,free,mobile,1.66,0.0
56,BR,2024-07-18,free,tv,23.75,0.0
57,DE,2023-09-30,free,tv,2.52,0.0
58,GB,2025-04-27,premium,web,26.44,8.0
59,FR,2025-01-31,free,mobile,10.19,0.0
60,FR,2023-12-14,free,tv,2.19,0.0
61,ES,2025-10-29,premium,mobile,19.79,8.0
62,DE,2022-03-26,free,tv,1.81,0.0
63,GB,2022-02-04,standard,mobile,20.64,7.99
64,BR,2023-07-21,free,mobile,8.35,0.0
65,ES,2022-11-05,standard,mobile,1.37,9.99
66,GB,2024-11-18,standard,mobile,11.98,9.99
67,GB,2025-01-30,free,web,8.37,0.0
68,US,2025-05-25,standard,mobile,5.71,5.0
69,FR,2025-07-24,free,mobile,3.57,0.0
70,DE,2024-02-04,free,tv,3.46,0.0
71,US,2024-09-05,premium,web,11.0,15.99
72,DE,2024-01-09,free,tv,2.83,0.0
73,NL,2024-05-15,premium,tv,22.74,8.0
74,US,2025-05-06,free,mobile,4.22,0.0
75,FR,2023-03-24,standard,tv,4.9,5.0
76,US,2024-05-14,free,tv,3.75,0.0
77,US,2024-12-28,standard,web,18.74,9.99
78,ES,2024-05-21,standard,web,5.26,9.99
79,GB,2023-04-15,premium,web,13.64,8.0
80,BR,2022-01-07,free,tv,8.32,0.0
81,ES,2023-03-26,standard,tv,29.53,9.99
82,DE,2022-10-29,free,web,1.54,0.0
83,BR,2025-06-30,free,mobile,8.52,0.0
84,FR,2021-09-16,free,mobile,2.53,0.0
85,FR,2022-11-23,standard,tv,4.86,9.99
86,FR,2022-08-18,free,tv,1.21,0.0
87,IT,2024-09-09,standard,mobile,25.37,9.99
88,DE,2024-11-07,standard,mobile,16.21,7.99
89,FR,2024-03-03,free,mobile,7.12,0.0
90,DE,2025-03-12,free,mobile,4.0,0.0
91,FR,2024-05-24,free,web,3.67,0.0
92,IT,2023-02-16,standard,mobile,21.18,9.99
93,DE,2025-10-28,standard,web,19.58,5.0
94,US,2024-05-20,free,tv,4.99,0.0
95,US,2025-06-03,free,web,7.21,0.0
96,ES,2024-02-04,free,mobile,22.85,0.0
97,US,2025-03-21,standard,tv,5.19,9.99
98,FR,2021-07-23,standard,mobile,7.08,7.99
99,FR,2025-05-09,free,web,1.92,0.0
100,AU,2022-07-31,standard,web,10.71,7.99
101,JP,2024-12-18,free,tv,1.9,0.0
102,IT,2023-03-23,free,mobile,1.4,0.0
103,US,2023-09-06,premium,tv,48.4,15.99
104,AU,2024-01-15,standard,tv,8.53,5.0
105,BR,2021-09-07,free,mobile,3.14,0.0
106,IT,2022-03-20,standard,tv,7.47,9.99
107,DE,2025-08-21,free,tv,1.88,0.0
108,US,2024-04-02,premium,web,68.79,15.99
109,FR,2024-03-02,free,tv,2.82,0.0
110,JP,2024-03-05,premium,mobile,15.85,15.99
111,DE,2024-05-29,free,tv,7.11,0.0
112,US,2021-07-18,standard,mobile,5.3,7.99
113,US,2023-06-08,free,tv,5.7,0.0
114,GB,2022-04-20,free,tv,1.28,0.0
115,FR,2024-10-04,standard,tv,15.08,7.99
116,NL,2025-10-23,free,tv,9.42,0.0
117,BR,2021-12-26,premium,tv,29.34,15.99
118,IT,2022-06-23,free,web,4.25,0.0
119,DE,2022-08-30,premium,mobile,15.67,15.99
120,ES,2023-07-24,premium,mobile,13.12,15.99
121,GB,2022-02-21,standard,tv,6.35,9.99
122,ES,2022-04-24,standard,tv,35.02,5.0
123,FR,2023-04-09,free,tv,12.52,0.0
124,DE,2024-09-02,standard,tv,17.59,9.99
125,FR,2025-02-14,free,mobile,8.02,0.0
126,DE,2024-11-09,free,mobile,2.07,0.0
127,US,2025-06-29,standard,tv,3.61,7.99
128,FR,2025-02-01,standard,tv,5.34,9.99
129,FR,2024-04-26,standard,mobile,28.39,9.99
130,GB,2024-03-23,free,tv,11.52,0.0
131,FR,2023-06-07,premium,mobile,18.45,12.79
132,JP,2022-06-25,free,tv,3.48,0.0
133,GB,2021-02-20,standard,tv,2.39,9.99
134,US,2025-03-10,free,web,1.86,0.0
135,GB,2024-08-28,free,tv,6.2,0.0
136,FR,2024-06-20,standard,mobile,18.88,9.99
137,AU,2025-01-30,standard,tv,12.76,9.99
138,DE,2023-03-15,free,web,3.67,0.0
139,BR,2023-11-06,standard,mobile,21.71,7.99
140,FR,2023-11-03,standard,mobile,10.93,9.99
