user_id,plan,country,device,tenure_months,watch_hours_t_minus_3,watch_hours_t_minus_2,watch_hours_t_minus_1,watch_hours_next_month
3000000,standard,US,mobile,2,4.78,5.24,5.36,0.92
3000001,free,DE,mobile,34,10.07,9.92,9.73,12.49
3000002,premium,CA,web,8,26.45,23.73,22.09,20.04
3000003,standard,FR,web,6,6.44,7.55,7.38,12.22
3000004,free,FR,mobile,14,9.59,9.7,8.79,0.0
3000005,premium,DE,mobile,44,20.82,21.04,19.65,26.82
3000006,standard,FR,mobile,39,10.7,10.92,11.17,14.75
3000007,standard,IT,mobile,18,11.43,14.33,13.67,15.5
3000008,free,US,mobile,56,8.48,8.84,8.8,6.84
3000009,free,NL,mobile,57,4.46,4.51,4.25,5.54
3000010,free,BR,tv,8,26.75,26.53,26.45,24.24
3000011,premium,DE,mobile,2,5.4,5.74,6.4,9.64
3000012,standard,NL,mobile,58,2.69,3.21,3.75,0.0
3000013,premium,FR,tv,34,8.73,9.65,9.96,7.16
3000014,free,GB,mobile,48,13.63,11.99,11.5,0.0
3000015,free,GB,tv,42,3.04,3.58,3.76,0.64
3000016,standard,US,mobile,51,9.6,8.81,8.68,10.31
3000017,free,FR,mobile,26,11.35,10.01,10.58,11.2
3000018,premium,GB,mobile,28,6.26,5.19,4.95,5.02
3000019,standard,DE,mobile,57,26.96,24.13,23.8,25.86
3000020,standard,ES,tv,39,6.99,5.95,5.64,2.96
3000021,free,US,mobile,18,23.27,19.82,20.04,16.75
3000022,premium,FR,web,27,7.74,9.32,11.34,11.66
3000023,premium,CA,tv,2,56.55,55.18,57.11,51.93
3000024,standard,FR,mobile,59,7.46,9.74,10.17,7.34
3000025,free,CA,tv,41,5.69,5.72,5.41,7.28
3000026,free,IT,mobile,30,4.28,4.7,5.44,9.05
3000027,free,ES,tv,31,9.64,10.05,9.48,7.44
3000028,free,US,mobile,59,1.24,1.82,1.75,3.24
3000029,standard,SE,tv,36,2.82,3.25,3.58,3.47
3000030,standard,JP,mobile,11,15.19,16.05,17.02,16.15
3000031,premium,IT,tv,33,48.5,50.92,49.08,46.03
3000032,free,IT,tv,3,8.28,9.87,10.12,9.14
3000033,free,DE,web,43,5.0,4.75,4.85,5.53
3000034,free,FR,tv,42,23.44,24.09,23.58,21.05
3000035,free,CA,tv,28,30.36,27.64,26.91,28.37
3000036,free,FR,tv,47,7.42,9.03,8.88,6.53
3000037,free,DE,tv,5,21.02,20.02,18.04,18.5
3000038,free,US,mobile,6,33.19,31.95,30.34,31.31
3000039,standard,BR,tv,4,20.43,17.71,19.09,17.88
3000040,free,IT,mobile,31,10.13,8.78,8.44,6.48
3000041,premium,ES,tv,2,6.95,6.99,6.81,4.94
3000042,standard,FR,mobile,15,3.44,4.25,4.68,2.69
3000043,free,US,tv,57,5.9,7.24,7.49,0.0
3000044,premium,FR,tv,12,19.03,17.59,18.16,15.53
3000045,standard,CA,mobile,57,8.86,9.31,9.59,7.84
3000046,free,FR,tv,47,3.59,3.17,3.19,1.06
3000047,free,AU,mobile,23,14.35,16.75,16.54,12.52
3000048,standard,FR,mobile,44,21.48,20.55,21.24,24.56
3000049,free,SE,web,40,8.17,8.95,9.35,3.13
3000050,free,GB,tv,37,8.12,10.29,10.23,10.59
3000051,free,NL,mobile,4,39.0,34.03,32.24,27.36
3000052,standard,ES,mobile,4,24.13,23.62,25.64,24.19
3000053,standard,BR,web,42,18.47,19.05,18.76,18.39
3000054,standard,IT,mobile,23,29.77,28.08,27.44,23.13
3000055,standard,US,tv,27,21.06,20.58,21.55,0.0
3000056,free,AU,web,39,9.15,10.27,10.19,8.79
3000057,standard,ES,tv,30,9.82,11.72,11.97,9.12
3000058,free,US,tv,22,12.83,12.08,11.39,10.13
3000059,free,US,tv,6,68.26,70.48,69.47,65.57
3000060,standard,GB,mobile,58,15.82,13.7,13.03,10.04
3000061,free,SE,tv,24,17.51,15.16,14.23,15.47
3000062,standard,BR,tv,48,30.14,36.8,38.51,37.92
3000063,standard,US,mobile,11,7.65,7.94,8.97,5.8
3000064,standard,IT,mobile,20,7.93,7.93,8.13,3.67
3000065,standard,FR,mobile,1,4.59,4.16,3.89,6.85
3000066,standard,US,mobile,4,5.28,5.34,5.87,0.0
3000067,free,NL,web,25,16.65,15.99,15.62,12.11
3000068,free,FR,tv,20,23.62,23.76,28.39,28.95
3000069,free,US,tv,7,12.61,12.25,11.73,11.51
3000070,free,FR,web,14,6.35,8.24,7.74,10.02
3000071,free,FR,mobile,11,12.61,13.88,13.69,16.11
3000072,premium,FR,tv,45,2.91,3.14,3.07,0.55
3000073,free,FR,tv,19,33.03,32.38,30.02,30.39
3000074,free,DE,web,20,37.49,33.61,35.74,33.54
3000075,free,JP,mobile,27,2.21,2.77,2.91,0.1
3000076,free,FR,web,11,6.21,6.36,6.03,3.96
3000077,standard,SE,mobile,15,13.04,12.74,13.83,10.23
3000078,standard,ES,tv,13,27.59,30.29,29.48,29.09
3000079,standard,FR,web,57,14.49,13.0,13.06,8.43
3000080,standard,US,tv,37,13.22,13.0,13.4,9.41
3000081,free,US,mobile,55,13.61,13.63,13.6,14.82
3000082,standard,BR,mobile,51,5.02,4.47,4.51,5.92
3000083,free,IT,web,15,10.8,9.94,9.75,7.2
3000084,free,US,mobile,3,9.01,8.19,7.57,8.41
3000085,free,FR,tv,27,9.92,10.47,10.32,9.37
3000086,standard,FR,mobile,22,10.11,8.9,8.71,4.46
3000087,free,ES,web,36,9.77,10.57,10.29,7.0
3000088,free,FR,web,10,8.5,9.53,9.38,8.22
3000089,standard,GB,mobile,11,12.87,11.71,11.66,16.59
3000090,free,ES,tv,13,20.96,18.91,19.01,19.03
3000091,standard,IT,tv,38,17.45,16.87,16.4,18.3
3000092,free,FR,tv,11,7.67,7.83,7.96,2.03
3000093,free,DE,web,25,16.07,16.42,15.44,13.18
3000094,free,DE,mobile,16,11.43,10.65,9.87,6.78
3000095,standard,NL,mobile,2,5.88,6.07,5.8,6.38
3000096,free,DE,mobile,11,22.84,18.83,20.82,19.0
3000097,free,DE,tv,16,7.54,8.37,9.2,3.6
3000098,free,FR,mobile,49,3.04,3.48,3.66,6.61
3000099,premium,IT,web,11,30.19,27.75,27.68,24.74
3000100,premium,ES,mobile,35,14.94,15.34,15.12,14.7
3000101,standard,IT,mobile,49,9.0,8.09,7.65,12.81
3000102,free,ES,tv,58,15.44,17.97,18.79,17.87
